index,Bowl,Date,Notes,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
556,Liberty Bowl,12/31/2002,"Memphis, TN",17,3,Texas Christian,Colorado State (23),1,1,1,1,1,1
557,Peach Bowl,12/31/2002,"Atlanta, GA",30,3,Maryland (20),Tennessee,1,1,1,1,1,1
558,San Francisco Bowl,12/31/2002,"San Francisco, CA",20,13,Virginia Tech (21),Air Force,1,1,1,1,1,1
559,Silicon Valley Bowl,12/31/2002,"San Jose, CA",30,21,Fresno State,Georgia Tech,1,1,1,1,1,1
560,Sun Bowl,12/31/2002,"El Paso, TX",34,24,Purdue,Washington,1,1,1,1,1,1
561,Music City Bowl,12/30/2002,"Nashville, TN",29,14,Minnesota,Arkansas (25),1,1,1,1,1,1
562,Seattle Bowl,12/30/2002,"Seattle, WA",38,17,Wake Forest,Oregon,1,1,1,1,1,1
563,Alamo Bowl,12/28/2002,"San Antonio, TX",31,28,Wisconsin,Colorado (14),1,1,1,1,1,1
564,Continental Tire Bowl,12/28/2002,"Charlotte, NC",48,22,Virginia,West Virginia (15),1,1,1,1,1,1
565,Holiday Bowl,12/27/2002,"San Diego, CA",34,27,Kansas State (6),Arizona State,1,1,1,1,1,1
566,Houston Bowl,12/27/2002,"Houston, TX",33,23,Oklahoma State,Southern Mississippi,1,1,1,1,1,1
567,Independence Bowl,12/27/2002,"Shreveport, LA",27,23,Mississippi,Nebraska,1,1,1,1,1,1
568,Insight Bowl,12/26/2002,"Phoenix, AZ",38,13,Pittsburgh (24),Oregon State,1,1,1,1,1,1
569,Motor City Bowl,12/26/2002,"Detroit, MI",51,25,Boston College,Toledo,1,1,1,1,1,1
570,Hawaii Bowl,12/25/2002,"Honolulu, HI",36,28,Tulane,Hawaii,1,1,1,1,1,1
571,Las Vegas Bowl,12/25/2002,"Las Vegas, NV",27,13,UCLA,New Mexico,1,1,1,1,1,1
572,Tangerine Bowl II,12/23/2002,"Orlando, FL",55,15,Texas Tech,Clemson,1,1,1,1,1,1
573,GMAC Bowl,12/18/2002,"Mobile, AL",38,15,Marshall,Louisville,1,1,1,1,1,1
574,New Orleans Bowl,12/17/2002,"New Orleans, LA",24,19,North Texas,Cincinnati,1,1,1,1,1,1
575,Sugar Bowl,1/4/2004,"New Orleans, LA",21,14,Louisiana State (2),Oklahoma (3),1,1,1,1,1,1
576,Humanitarian Bowl,1/3/2004,"Boise, ID",52,10,Georgia Tech,Tulsa,1,1,1,1,1,1
577,Cotton Bowl,1/2/2004,"Dallas, TX",31,28,Mississippi (16),Oklahoma State (21),1,1,1,1,1,1
578,Fiesta Bowl,1/2/2004,"Tempe, AZ",35,28,Ohio State (7),Kansas State (8),1,1,1,1,1,1
579,Peach Bowl,1/2/2004,"Atlanta, GA",27,14,Clemson,Tennessee (6),1,1,1,1,1,1
580,Capital One Bowl,1/1/2004,"Orlando, FL",34,27,Georgia (11),Purdue (12),1,1,1,1,1,1
581,Gator Bowl,1/1/2004,"Jacksonville, FL",41,7,Maryland (23),West Virginia (20),1,1,1,1,1,1
582,Orange Bowl,1/1/2004,"Miami, FL",16,14,Miami (FL) (10),Florida State (9),1,1,1,1,1,1
583,Outback Bowl,1/1/2004,"Tampa, FL",37,17,Iowa (13),Florida (17),1,1,1,1,1,1
584,Rose Bowl,1/1/2004,"Pasadena, CA",28,14,Southern California (1),Michigan (4),1,1,1,1,1,1
585,Independence Bowl,12/31/2003,"Shreveport, LA",27,14,Arkansas,Missouri,1,1,1,1,1,1
586,Liberty Bowl,12/31/2003,"Memphis, TN",17,0,Utah (25),Southern Mississippi,1,1,1,1,1,1
587,Music City Bowl,12/31/2003,"Nashville, TN",28,14,Auburn,Wisconsin,1,1,1,1,1,1
588,San Francisco Bowl,12/31/2003,"San Francisco, CA",35,21,Boston College,Colorado State,1,1,1,1,1,1
589,Sun Bowl,12/31/2003,"El Paso, TX",31,30,Minnesota (24),Oregon,1,1,1,1,1,1
590,Holiday Bowl,12/30/2003,"San Diego, CA",28,20,Washington State (15),Texas (5),1,1,1,1,1,1
591,Houston Bowl,12/30/2003,"Houston, TX",38,14,Texas Tech,Navy,1,1,1,1,1,1
592,Silicon Valley Bowl,12/30/2003,"San Jose, CA",17,9,Fresno State,UCLA,1,1,1,1,1,1
593,Alamo Bowl,12/29/2003,"San Antonio, TX",17,3,Nebraska (22),Michigan State,1,1,1,1,1,1
594,Continental Tire Bowl,12/27/2003,"Charlotte, NC",23,16,Virginia,Pittsburgh,1,1,1,1,1,1
595,Insight Bowl,12/26/2003,"Phoenix, AZ",52,49,California,Virginia Tech,1,1,1,1,1,1
596,Motor City Bowl,12/26/2003,"Detroit, MI",28,24,Bowling Green State,Northwestern,1,1,1,1,1,1
597,Hawaii Bowl,12/25/2003,"Honolulu, HI",54,48,Hawaii,Houston,1,1,1,1,1,1
598,Las Vegas Bowl,12/24/2003,"Las Vegas, NV",55,14,Oregon State,New Mexico,1,1,1,1,1,1
599,Fort Worth Bowl,12/23/2003,"Fort Worth, TX",34,31,Boise State (18),Texas Christian (19),1,1,1,1,1,1
600,Tangerine Bowl II,12/22/2003,"Orlando, FL",56,26,North Carolina State,Kansas,1,1,1,1,1,1
601,GMAC Bowl,12/18/2003,"Mobile, AL",49,28,Miami (OH) (14),Louisville,1,1,1,1,1,1
602,New Orleans Bowl,12/16/2003,"New Orleans, LA",27,17,Memphis,North Texas,1,1,1,1,1,1
603,Orange Bowl,1/4/2005,"Miami, FL",55,19,Southern California (1),Oklahoma (2),1,1,1,1,1,1
604,Sugar Bowl,1/3/2005,"New Orleans, LA",16,13,Auburn (3),Virginia Tech (9),1,1,1,1,1,1
605,Capital One Bowl,1/1/2005,"Orlando, FL",30,25,Iowa (11),Louisiana State (12),1,1,1,1,1,1
606,Cotton Bowl,1/1/2005,"Dallas, TX",38,7,Tennessee (15),Texas A&M (22),1,1,1,1,1,1
607,Fiesta Bowl,1/1/2005,"Tempe, AZ",35,7,Utah (5),Pittsburgh (19),1,1,1,1,1,1
608,Gator Bowl,1/1/2005,"Jacksonville, FL",30,18,Florida State (17),West Virginia,1,1,1,1,1,1
609,Outback Bowl,1/1/2005,"Tampa, FL",24,21,Georgia (8),Wisconsin (16),1,1,1,1,1,1
610,Rose Bowl,1/1/2005,"Pasadena, CA",38,37,Texas (6),Michigan (13),1,1,1,1,1,1
611,Liberty Bowl,12/31/2004,"Memphis, TN",44,40,Louisville (7),Boise State (10),1,1,1,1,1,1
612,Music City Bowl,12/31/2004,"Nashville, TN",20,16,Minnesota,Alabama,1,1,1,1,1,1
613,Peach Bowl,12/31/2004,"Atlanta, GA",27,10,Miami (FL) (14),Florida (20),1,1,1,1,1,1
614,Sun Bowl,12/31/2004,"El Paso, TX",27,23,Arizona State (21),Purdue,1,1,1,1,1,1
615,Continental Tire Bowl,12/30/2004,"Charlotte, NC",37,24,Boston College (25),North Carolina,1,1,1,1,1,1
616,Emerald Bowl,12/30/2004,"San Francisco, CA",34,19,Navy,New Mexico,1,1,1,1,1,1
617,Holiday Bowl,12/30/2004,"San Diego, CA",45,31,Texas Tech (23),California (4),1,1,1,1,1,1
618,Silicon Valley Bowl,12/30/2004,"San Jose, CA",34,21,Northern Illinois,Troy,1,1,1,1,1,1
619,Alamo Bowl,12/29/2004,"San Antonio, TX",33,7,Ohio State (24),Oklahoma State,1,1,1,1,1,1
620,Houston Bowl,12/29/2004,"Houston, TX",33,28,Colorado,Texas-El Paso,1,1,1,1,1,1
621,Independence Bowl,12/28/2004,"Shreveport, LA",17,13,Iowa State,Miami (OH),1,1,1,1,1,1
622,Insight Bowl,12/28/2004,"Phoenix, AZ",38,21,Oregon State,Notre Dame,1,1,1,1,1,1
623,Motor City Bowl,12/27/2004,"Detroit, MI",39,10,Connecticut,Toledo,1,1,1,1,1,1
624,MPC Computers Bowl,12/27/2004,"Boise, ID",37,34,Fresno State,Virginia (18),1,1,1,1,1,1
625,Hawaii Bowl,12/24/2004,"Honolulu, HI",59,40,Hawaii,Alabama-Birmingham,1,1,1,1,1,1
626,Fort Worth Bowl,12/23/2004,"Fort Worth, TX",32,14,Cincinnati,Marshall,1,1,1,1,1,1
627,Las Vegas Bowl,12/23/2004,"Las Vegas, NV",24,21,Wyoming,UCLA,1,1,1,1,1,1
628,GMAC Bowl,12/22/2004,"Mobile, AL",52,35,Bowling Green State,Memphis,1,1,1,1,1,1
629,Champs Sports Bowl,12/21/2004,"Orlando, FL",51,14,Georgia Tech,Syracuse,1,1,1,1,1,1
630,New Orleans Bowl,12/14/2004,"New Orleans, LA",31,10,Southern Mississippi,North Texas,1,1,1,1,1,1
631,Rose Bowl,1/4/2006,"Pasadena, CA",41,38,Texas,Southern California,1,1,1,1,1,1
632,Orange Bowl,1/3/2006,"Miami, FL",26,23,Penn State,Florida State,1,1,1,1,1,1
633,Capital One Bowl,1/2/2006,"Orlando, FL",24,10,Wisconsin,Auburn,1,1,1,1,1,1
634,Cotton Bowl,1/2/2006,"Dallas, TX",13,10,Alabama,Texas Tech,1,1,1,1,1,1
635,Fiesta Bowl,1/2/2006,"Tempe, AZ",34,20,Ohio State,Notre Dame,1,1,1,1,1,1
636,Gator Bowl,1/2/2006,"Jacksonville, FL",35,24,Virginia Tech,Louisville,1,1,1,1,1,1
637,Outback Bowl,1/2/2006,"Tampa, FL",31,24,Florida,Iowa,1,1,1,1,1,1
638,Sugar Bowl,1/2/2006,"Atlanta, GA",38,35,West Virginia,Georgia,1,1,1,1,1,1
639,Houston Bowl,12/31/2005,"Houston, TX",27,24,Texas Christian,Iowa State,1,1,1,1,1,1
640,Liberty Bowl,12/31/2005,"Memphis, TN",31,24,Tulsa,Fresno State,1,1,1,1,1,1
641,Meineke Car Care Bowl,12/31/2005,"Charlotte, NC",14,0,North Carolina State,South Florida,1,1,1,1,1,1
642,Independence Bowl,12/30/2005,"Shreveport, LA",38,31,Missouri,South Carolina,1,1,1,1,1,1
643,Music City Bowl,12/30/2005,"Nashville, TN",34,31,Virginia,Minnesota,1,1,1,1,1,1
644,Peach Bowl,12/30/2005,"Atlanta, GA",40,3,Louisiana State,Miami (FL),1,1,1,1,1,1
645,Sun Bowl,12/30/2005,"El Paso, TX",50,38,UCLA,Northwestern,1,1,1,1,1,1
646,Emerald Bowl,12/29/2005,"San Francisco, CA",38,10,Utah,Georgia Tech,1,1,1,1,1,1
647,Holiday Bowl,12/29/2005,"San Diego, CA",17,14,Oklahoma,Oregon,1,1,1,1,1,1
648,Alamo Bowl,12/28/2005,"San Antonio, TX",32,28,Nebraska,Michigan,1,1,1,1,1,1
649,MPC Computers Bowl,12/28/2005,"Boise, ID",27,21,Boston College,Boise State,1,1,1,1,1,1
650,Champs Sports Bowl,12/27/2005,"Orlando, FL",19,10,Clemson,Colorado,1,1,1,1,1,1
651,Insight Bowl,12/27/2005,"Phoenix, AZ",45,40,Arizona State,Rutgers,1,1,1,1,1,1
652,Motor City Bowl,12/26/2005,"Detroit, MI",38,31,Memphis,Akron,1,1,1,1,1,1
653,Hawaii Bowl,12/24/2005,"Honolulu, HI",49,48,Nevada,Central Florida,1,1,1,1,1,1
654,Fort Worth Bowl,12/23/2005,"Fort Worth, TX",42,13,Kansas,Houston,1,1,1,1,1,1
655,Las Vegas Bowl,12/22/2005,"Las Vegas, NV",35,28,California,Brigham Young,1,1,1,1,1,1
656,Poinsettia Bowl,12/22/2005,"San Diego, CA",51,30,Navy,Colorado State,1,1,1,1,1,1
657,GMAC Bowl,12/21/2005,"Mobile, AL",45,13,Toledo,Texas-El Paso,1,1,1,1,1,1
658,New Orleans Bowl,12/20/2005,"Lafayette, LA",31,19,Southern Mississippi,Arkansas State,1,1,1,1,1,1
659,BCS Championship,1/8/2007,"Glendale, AZ",41,14,Florida (2),Ohio State (1),1,1,1,1,1,1
660,GMAC Bowl,1/7/2007,"Mobile, AL",28,7,Southern Mississippi,Ohio,1,1,1,1,1,1
661,International Bowl,1/6/2007,"Toronto, Canada",27,24,Cincinnati,Western Michigan,1,1,1,1,1,1
662,Sugar Bowl,1/3/2007,"New Orleans, LA",41,14,Louisiana State (4),Notre Dame (11),1,1,1,1,1,1
663,Orange Bowl,1/2/2007,"Miami, FL",24,13,Louisville (5),Wake Forest (15),1,1,1,1,1,1
664,Capital One Bowl,1/1/2007,"Orlando, FL",17,14,Wisconsin (6),Arkansas (12),1,1,1,1,1,1
665,Cotton Bowl,1/1/2007,"Dallas, TX",17,14,Auburn (10),Nebraska (22),1,1,1,1,1,1
666,Fiesta Bowl,1/1/2007,"Glendale, AZ",43,42,Boise State (9),Oklahoma (7),1,1,1,1,1,1
667,Gator Bowl,1/1/2007,"Jacksonville, FL",38,35,West Virginia (13),Georgia Tech,1,1,1,1,1,1
668,Outback Bowl,1/1/2007,"Tampa, FL",20,10,Penn State,Tennessee (17),1,1,1,1,1,1
669,Rose Bowl,1/1/2007,"Pasadena, CA",32,18,Southern California (8),Michigan (3),1,1,1,1,1,1
670,MPC Computers Bowl,12/31/2006,"Boise, ID",21,20,Miami (FL),Nevada,1,1,1,1,1,1
