Bowl,Date,Location,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
86,Fiesta Bowl,12/25/1976,"Tempe, AZ",41,7,Oklahoma (8),Wyoming,33.4255104,-111.9400054,35.2058936,-97.4457137,41.3148754,-105.5665744
87,Liberty Bowl,12/20/1976,"Memphis, TN",36,6,Alabama (16),UCLA (7),35.1495343,-90.0489801,33.2140233,-87.5391418,34.068921,-118.4451811
88,Tangerine Bowl,12/18/1976,"Orlando, FL",49,21,Oklahoma State (14),Brigham Young,28.5383355,-81.3792365,36.1270236,-97.07372219999999,40.2518435,-111.6493156
89,Independence Bowl,12/13/1976,"Shreveport, LA",20,16,McNeese State,Tulsa,32.5251516,-93.7501789,30.1788135,-93.21685680000002,36.1520526,-95.94607529999999
90,Cotton Bowl,1/2/1978,"Dallas, TX",38,10,Notre Dame (5),Texas (1),32.7766642,-96.79698789999999,41.7055716,-86.2353388,30.2849185,-97.7340567
91,Orange Bowl,1/2/1978,"Miami, FL",31,6,Arkansas (6),Oklahoma (2),25.7616798,-80.1917902,36.0686895,-94.1748471,35.2058936,-97.4457137
92,Rose Bowl,1/2/1978,"Pasadena, CA",27,20,Washington (13),Michigan (4),34.1477849,-118.1445155,47.65533509999999,-122.3035199,42.2780436,-83.7382241
93,Sugar Bowl,1/2/1978,"New Orleans, LA",35,6,Alabama (3),Ohio State (9),29.95106579999999,-90.0715323,33.2140233,-87.5391418,40.0068363,-83.0306222
94,Bluebonnet Bowl,12/31/1977,"Houston, TX",47,28,Southern California (20),Texas A&M (17),29.7604267,-95.3698028,34.0223519,-118.285117,30.6187558,-96.33647719999999
95,Peach Bowl,12/31/1977,"Atlanta, GA",24,14,North Carolina State,Iowa State,33.7489954,-84.3879824,35.7846633,-78.6820946,42.0266187,-93.6464654
96,Sun Bowl,12/31/1977,"El Paso, TX",24,14,Stanford,Louisiana State,31.7618778,-106.4850217,37.4274745,-122.169719,30.4132579,-91.1800023
97,Gator Bowl,12/30/1977,"Jacksonville, FL",34,3,Pittsburgh (10),Clemson (11),30.3321838,-81.65565099999999,40.4443533,-79.960835,34.6738437,-82.8368654
98,Fiesta Bowl,12/25/1977,"Tempe, AZ",42,30,Penn State (8),Arizona State (15),33.4255104,-111.9400054,40.7982133,-77.8599084,32.2318851,-110.9501094
99,Tangerine Bowl,12/23/1977,"Orlando, FL",40,17,Florida State (19),Texas Tech,28.5383355,-81.3792365,30.43495,-84.284994,33.5842591,-101.8782822
100,Hall of Fame Classic,12/22/1977,"Birmingham, AL",17,7,Maryland,Minnesota,33.5185892,-86.8103567,38.9869183,-76.9425543,44.97399,-93.2277285
101,Liberty Bowl,12/19/1977,"Memphis, TN",21,17,Nebraska (12),North Carolina (14),35.1495343,-90.0489801,40.8201966,-96.70047629999999,35.9049122,-79.0469134
102,Independence Bowl,12/17/1977,"Shreveport, LA",24,14,Louisiana Tech,Louisville,32.5251516,-93.7501789,32.5282644,-92.6499298,38.2122761,-85.75850229999999
103,Cotton Bowl,1/1/1979,"Dallas, TX",35,34,Notre Dame (10),Houston (9),32.7766642,-96.79698789999999,41.7055716,-86.2353388,29.7199489,-95.3422334
104,Orange Bowl,1/1/1979,"Miami, FL",31,24,Oklahoma (4),Nebraska (6),25.7616798,-80.1917902,35.2058936,-97.4457137,40.8201966,-96.70047629999999
105,Rose Bowl,1/1/1979,"Pasadena, CA",17,10,Southern California (3),Michigan (5),34.1477849,-118.1445155,34.0223519,-118.285117,42.2780436,-83.7382241
106,Sugar Bowl,1/1/1979,"New Orleans, LA",14,7,Alabama (2),Penn State (1),29.95106579999999,-90.0715323,33.2140233,-87.5391418,40.7982133,-77.8599084
107,Bluebonnet Bowl,12/31/1978,"Houston, TX",25,22,Stanford,Georgia (11),29.7604267,-95.3698028,37.4274745,-122.169719,33.9480053,-83.3773221
108,Gator Bowl,12/29/1978,"Jacksonville, FL",17,15,Clemson (7),Ohio State (20),30.3321838,-81.65565099999999,34.6738437,-82.8368654,40.0068363,-83.0306222
109,Fiesta Bowl,12/25/1978,"Tempe, AZ",10,10,UCLA (15),Arkansas (8),33.4255104,-111.9400054,34.068921,-118.4451811,36.0686895,-94.1748471
110,Peach Bowl,12/25/1978,"Atlanta, GA",41,21,Purdue (17),Georgia Tech,33.7489954,-84.3879824,40.4237054,-86.92119459999999,33.7756178,-84.39628499999999
111,Liberty Bowl,12/23/1978,"Memphis, TN",20,15,Missouri (18),Louisiana State,35.1495343,-90.0489801,38.9403808,-92.32773750000001,30.4132579,-91.1800023
112,Sun Bowl,12/23/1978,"El Paso, TX",42,0,Texas (14),Maryland (13),31.7618778,-106.4850217,30.2849185,-97.7340567,38.9869183,-76.9425543
113,Tangerine Bowl,12/23/1978,"Orlando, FL",30,17,North Carolina State,Pittsburgh (16),28.5383355,-81.3792365,35.7846633,-78.6820946,40.4443533,-79.960835
114,Holiday Bowl,12/22/1978,"San Diego, CA",23,16,Navy,Brigham Young,32.715738,-117.1610838,38.98206580000001,-76.4839405,40.2518435,-111.6493156
115,Hall of Fame Classic,12/20/1978,"Birmingham, AL",28,12,Texas A&M,Iowa State (19),33.5185892,-86.8103567,30.6187558,-96.33647719999999,42.0266187,-93.6464654
116,Garden State Bowl,12/16/1978,"East Rutherford, NJ",34,18,Arizona State,Rutgers,40.833989,-74.0970865,32.2318851,-110.9501094,40.5008186,-74.44739910000001
117,Independence Bowl,12/16/1978,"Shreveport, LA",35,13,East Carolina,Louisiana Tech,32.5251516,-93.7501789,35.6055108,-77.3645653,32.5282644,-92.6499298
118,Cotton Bowl,1/1/1980,"Dallas, TX",17,14,Houston (8),Nebraska (7),32.7766642,-96.79698789999999,29.7199489,-95.3422334,40.8201966,-96.70047629999999
119,Orange Bowl,1/1/1980,"Miami, FL",24,7,Oklahoma (5),Florida State (4),25.7616798,-80.1917902,35.2058936,-97.4457137,30.43495,-84.284994
120,Rose Bowl,1/1/1980,"Pasadena, CA",17,16,Southern California (3),Ohio State (1),34.1477849,-118.1445155,34.0223519,-118.285117,40.0068363,-83.0306222
121,Sugar Bowl,1/1/1980,"New Orleans, LA",24,9,Alabama (2),Arkansas (6),29.95106579999999,-90.0715323,33.2140233,-87.5391418,36.0686895,-94.1748471
122,Bluebonnet Bowl,12/31/1979,"Houston, TX",27,22,Purdue (12),Tennessee,29.7604267,-95.3698028,40.4237054,-86.92119459999999,35.9544013,-83.92945639999999
123,Peach Bowl,12/31/1979,"Atlanta, GA",24,18,Baylor (19),Clemson (18),33.7489954,-84.3879824,31.5497007,-97.1143046,34.6738437,-82.8368654
124,Hall of Fame Classic,12/29/1979,"Birmingham, AL",24,14,Missouri,South Carolina (16),33.5185892,-86.8103567,38.9403808,-92.32773750000001,33.9937575,-81.0299186
125,Gator Bowl,12/28/1979,"Jacksonville, FL",17,15,North Carolina,Michigan (14),30.3321838,-81.65565099999999,35.9049122,-79.0469134,42.2780436,-83.7382241
126,Fiesta Bowl,12/25/1979,"Tempe, AZ",16,10,Pittsburgh (10),Arizona,33.4255104,-111.9400054,40.4443533,-79.960835,32.2318851,-110.9501094
127,Liberty Bowl,12/22/1979,"Memphis, TN",9,6,Penn State,Tulane (15),35.1495343,-90.0489801,40.7982133,-77.8599084,29.9407282,-90.12031669999999
128,Sun Bowl,12/22/1979,"El Paso, TX",14,7,Washington (13),Texas (11),31.7618778,-106.4850217,47.65533509999999,-122.3035199,30.2849185,-97.7340567
129,Tangerine Bowl,12/22/1979,"Orlando, FL",34,10,Louisiana State,Wake Forest,28.5383355,-81.3792365,30.4132579,-91.1800023,36.1354033,-80.27922749999999
130,Holiday Bowl,12/21/1979,"San Diego, CA",38,37,Indiana,Brigham Young (9),32.715738,-117.1610838,39.1754487,-86.512627,40.2518435,-111.6493156
131,Garden State Bowl,12/15/1979,"East Rutherford, NJ",28,17,Temple (20),California,40.833989,-74.0970865,39.9805942,-75.1557376,37.8718992,-122.2585399
132,Independence Bowl,12/15/1979,"Shreveport, LA",31,7,Syracuse,McNeese State,32.5251516,-93.7501789,43.0391534,-76.1351158,30.1788135,-93.21685680000002
133,Peach Bowl,1/2/1981,"Atlanta, GA",20,10,Miami (FL) (20),Virginia Tech,33.7489954,-84.3879824,25.7178924,-80.2746368,37.22838429999999,-80.42341669999999
134,Cotton Bowl,1/1/1981,"Dallas, TX",30,2,Alabama (9),Baylor (6),32.7766642,-96.79698789999999,33.2140233,-87.5391418,31.5497007,-97.1143046
135,Orange Bowl,1/1/1981,"Miami, FL",18,17,Oklahoma (4),Florida State (2),25.7616798,-80.1917902,35.2058936,-97.4457137,30.43495,-84.284994
136,Rose Bowl,1/1/1981,"Pasadena, CA",23,6,Michigan (5),Washington (16),34.1477849,-118.1445155,42.2780436,-83.7382241,47.65533509999999,-122.3035199
137,Sugar Bowl,1/1/1981,"New Orleans, LA",17,10,Georgia (1),Notre Dame (7),29.95106579999999,-90.0715323,33.9480053,-83.3773221,41.7055716,-86.2353388
138,Bluebonnet Bowl,12/31/1980,"Houston, TX",16,7,North Carolina (13),Texas,29.7604267,-95.3698028,35.9049122,-79.0469134,30.2849185,-97.7340567
139,Gator Bowl,12/29/1980,"Jacksonville, FL",37,9,Pittsburgh (3),South Carolina (18),30.3321838,-81.65565099999999,40.4443533,-79.960835,33.9937575,-81.0299186
140,Hall of Fame Classic,12/27/1980,"Birmingham, AL",34,15,Arkansas,Tulane,33.5185892,-86.8103567,36.0686895,-94.1748471,29.9407282,-90.12031669999999
141,Liberty Bowl,12/27/1980,"Memphis, TN",28,25,Purdue,Missouri,35.1495343,-90.0489801,40.4237054,-86.92119459999999,38.9403808,-92.32773750000001
142,Sun Bowl,12/27/1980,"El Paso, TX",31,17,Nebraska (8),Mississippi State (17),31.7618778,-106.4850217,40.8201966,-96.70047629999999,33.4551742,-88.79437659999999
143,Fiesta Bowl,12/26/1980,"Tempe, AZ",31,19,Penn State (10),Ohio State (11),33.4255104,-111.9400054,40.7982133,-77.8599084,40.0068363,-83.0306222
144,Tangerine Bowl,12/20/1980,"Orlando, FL",35,20,Florida,Maryland,28.5383355,-81.3792365,29.6436325,-82.3549302,38.9869183,-76.9425543
145,Holiday Bowl,12/19/1980,"San Diego, CA",46,45,Brigham Young (14),Southern Methodist (19),32.715738,-117.1610838,40.2518435,-111.6493156,32.8412178,-96.78451749999999
146,Garden State Bowl,12/14/1980,"East Rutherford, NJ",35,0,Houston,Navy,40.833989,-74.0970865,29.7199489,-95.3422334,38.98206580000001,-76.4839405
147,Independence Bowl,12/13/1980,"Shreveport, LA",16,14,Southern Mississippi,McNeese State,32.5251516,-93.7501789,31.3298941,-89.3340439,30.1788135,-93.21685680000002
148,Cotton Bowl,1/1/1982,"Dallas, TX",14,12,Texas (6),Alabama (3),32.7766642,-96.79698789999999,30.2849185,-97.7340567,33.2140233,-87.5391418
149,Fiesta Bowl,1/1/1982,"Tempe, AZ",26,10,Penn State (7),Southern California (8),33.4255104,-111.9400054,40.7982133,-77.8599084,34.0223519,-118.285117
150,Orange Bowl,1/1/1982,"Miami, FL",22,15,Clemson (1),Nebraska (4),25.7616798,-80.1917902,34.6738437,-82.8368654,40.8201966,-96.70047629999999
151,Rose Bowl,1/1/1982,"Pasadena, CA",28,0,Washington (12),Iowa (13),34.1477849,-118.1445155,47.65533509999999,-122.3035199,41.6626963,-91.5548998
152,Sugar Bowl,1/1/1982,"New Orleans, LA",24,20,Pittsburgh (10),Georgia (2),29.95106579999999,-90.0715323,40.4443533,-79.960835,33.9480053,-83.3773221
153,Bluebonnet Bowl,12/31/1981,"Houston, TX",33,14,Michigan (16),UCLA (19),29.7604267,-95.3698028,42.2780436,-83.7382241,34.068921,-118.4451811
